alpha,mu,x_thresh,sigma_thresh,beta,mean_tau,sigma_tau,birth_noise
1.0,5.0,10.0,1.0,0.35597765349616944,0.6986318472116162,0.3876301424069171,0.4908113151148743
1.0,5.0,10.0,5.0,0.6282482671052514,0.6987452535434551,0.4732183419503233,0.5776520884108075
1.0,5.0,10.0,10.0,0.6187840489097157,0.698361534698592,0.5291131007872613,0.6746601421226265
1.0,5.0,10.0,50.0,0.5109702965875306,0.6946667337139693,0.6029510181696346,1.002522365937898
1.0,5.0,50.0,1.0,0.4100299885882744,0.6937842370322445,0.12766401839703828,0.13760912242630058
1.0,5.0,50.0,5.0,0.6394158223007455,0.6937665034514598,0.19179069915500807,0.1671376646251211
1.0,5.0,50.0,10.0,0.8301090066284136,0.693726815123616,0.21200566807881063,0.2348027323053959
1.0,5.0,50.0,50.0,0.6554304639388174,0.6935369667105591,0.42473033280408184,0.5727158494643485
1.0,5.0,100.0,1.0,0.43578480666960007,0.6934231779471581,0.08631354335837041,0.08707534871959834
1.0,5.0,100.0,5.0,0.596961834550084,0.6934810436574506,0.1060493873512301,0.09835759366215278
1.0,5.0,100.0,10.0,0.7601402682391907,0.693519500712408,0.13376136089558024,0.13141993580374858
1.0,5.0,100.0,50.0,0.8235687170194524,0.6933947686827285,0.31708151727322276,0.40526847551288736
1.0,5.0,500.0,1.0,0.5519197463223544,0.6936741889107642,0.040826904665925215,0.04004288891337907
1.0,5.0,500.0,5.0,0.5842506792207437,0.6936731941658657,0.038532253361469385,0.041090604476223626
1.0,5.0,500.0,10.0,0.6611599082030202,0.6936761202628156,0.04145537372604286,0.04378184584053101
1.0,5.0,500.0,50.0,0.9231026535722784,0.6936764967429141,0.10030940901747976,0.10759906850932006
1.0,5.0,1000.0,1.0,0.6105323114456339,0.6939554966743109,0.03400875692340877,0.033406324662881966
1.0,5.0,1000.0,5.0,0.6194182689530628,0.6939542374371812,0.03161933118570422,0.033582361189590126
1.0,5.0,1000.0,10.0,0.7003545557839492,0.6940198443497918,0.03243230380027352,0.034414055277350475
1.0,5.0,1000.0,50.0,0.8242574676911087,0.693977246590734,0.05785179197149253,0.05977075239975174
1.0,7.5,10.0,1.0,0.323807687353186,0.6985562500328442,0.550147750881308,0.6618751693193632
